X_gyro,Y_gyro,Z_gyro,X_accel,Y_accel,Z_accel
-65.0,-370.0,3.0,1876.0,-16884.0,-24.0
-9.0,-375.0,255.0,1952.0,-16268.0,40.0
-63.0,-380.0,6.0,1428.0,-15832.0,740.0
-34.0,-393.0,2.0,1696.0,-15976.0,-336.0
-74.0,-359.0,-3.0,1716.0,-16912.0,216.0
-38.0,-333.0,-11.0,2144.0,-15692.0,-1376.0
-55.0,-395.0,-6.0,1988.0,-15976.0,-512.0
-60.0,-372.0,9.0,2200.0,-16524.0,-172.0
-64.0,-344.0,0.0,1904.0,-16872.0,-16.0
-33.0,-291.0,-253.0,2560.0,-16332.0,-244.0
43.0,-302.0,28.0,-1988.0,-15048.0,-196.0
33.0,-525.0,-42.0,6196.0,-14992.0,-452.0
-155.0,374.0,-41.0,-580.0,-18344.0,-1800.0
8.0,-948.0,48.0,-500.0,-16224.0,-1212.0
-23.0,-708.0,-23.0,7608.0,-15212.0,32.0
-41.0,100.0,-13.0,-300.0,-16776.0,-792.0
-51.0,-692.0,-254.0,668.0,-16716.0,-240.0
-54.0,-363.0,3.0,4316.0,-16136.0,-384.0
-26.0,-152.0,-25.0,352.0,-15952.0,-448.0
-39.0,-547.0,16.0,2004.0,-15840.0,-324.0
-51.0,-322.0,-2.0,2692.0,-16064.0,-556.0
-9.0,-294.0,-4.0,1180.0,-15524.0,-284.0
-61.0,-423.0,7.0,1980.0,-16608.0,-180.0
-72.0,-363.0,-3.0,2332.0,-17496.0,-236.0
-36.0,-336.0,-10.0,1724.0,-16068.0,-148.0
-39.0,-377.0,4.0,1864.0,-15444.0,-420.0
-40.0,-362.0,-6.0,1924.0,-16096.0,-520.0
-449.0,-374.0,-219.0,3980.0,-29428.0,-12776.0
91.0,-369.0,-49.0,1040.0,-19080.0,-2572.0
218.0,-367.0,13.0,3048.0,-16196.0,4164.0
18.0,-350.0,12.0,2512.0,-15644.0,512.0
-188.0,-386.0,82.0,2236.0,-16120.0,-604.0
-74.0,-427.0,55.0,2428.0,-14432.0,-816.0
2.0,-279.0,-77.0,120.0,-16528.0,2260.0
119.0,-389.0,-11.0,1928.0,-15720.0,128.0
85.0,-375.0,24.0,2304.0,-15864.0,-1212.0
19.0,-322.0,14.0,2040.0,-16240.0,772.0
-4.0,-418.0,29.0,2076.0,-16564.0,976.0
25.0,-364.0,27.0,2268.0,-16140.0,1744.0
-88.0,-356.0,39.0,1204.0,-16224.0,-412.0
69.0,-383.0,-21.0,1532.0,-15804.0,-188.0
48.0,-346.0,-6.0,1768.0,-16292.0,-248.0
-8.0,-380.0,21.0,2032.0,-16828.0,-648.0
-14.0,-364.0,3.0,1980.0,-16536.0,-660.0
-19.0,-370.0,20.0,1624.0,-15340.0,-468.0
-3.0,-379.0,-2.0,1972.0,-15756.0,-748.0
-250.0,-359.0,18.0,1796.0,-15388.0,212.0
-34.0,-372.0,3.0,1944.0,-16472.0,1320.0
25.0,-376.0,255.0,1932.0,-15700.0,176.0
-18.0,-363.0,16.0,1888.0,-16240.0,144.0
-4.0,-371.0,12.0,1920.0,-15588.0,-32.0
14.0,-380.0,0.0,1604.0,-15644.0,772.0
