X_gyro,Y_gyro,Z_gyro,X_accel,Y_accel,Z_accel
-44.0,-363.0,-1.0,1860.0,-16372.0,-340.0
-45.0,-363.0,-3.0,1932.0,-16116.0,-404.0
-45.0,-363.0,-3.0,1988.0,-16204.0,-300.0
-46.0,-361.0,-4.0,1908.0,-16292.0,-8.0
-44.0,-361.0,-1.0,1772.0,-16244.0,-420.0
-42.0,-363.0,-4.0,1856.0,-16296.0,-432.0
-43.0,-363.0,-5.0,1956.0,-16296.0,-400.0
-42.0,-363.0,255.0,1852.0,-16228.0,-404.0
-43.0,-363.0,-3.0,1984.0,-16168.0,-484.0
-40.0,-364.0,-5.0,1872.0,-16188.0,-272.0
-46.0,-367.0,-3.0,1952.0,-16204.0,-384.0
-45.0,-362.0,-1.0,1848.0,-16232.0,-276.0
-40.0,-365.0,-5.0,1924.0,-16204.0,-460.0
-43.0,-365.0,-3.0,1836.0,-16160.0,-400.0
-44.0,-363.0,-1.0,1892.0,-16284.0,-300.0
-41.0,-363.0,253.0,1816.0,-16148.0,-400.0
-41.0,-363.0,-5.0,1868.0,-16188.0,-296.0
-43.0,-362.0,0.0,1844.0,-16204.0,-520.0
-42.0,-364.0,-1.0,1816.0,-16228.0,-320.0
-42.0,-361.0,-3.0,1876.0,-16264.0,-404.0
-42.0,-365.0,-2.0,1820.0,-16224.0,-760.0
-45.0,-365.0,-2.0,1812.0,-16256.0,-496.0
-43.0,-363.0,-2.0,1772.0,-16188.0,-384.0
-43.0,-365.0,-4.0,1888.0,-16216.0,-344.0
-44.0,-361.0,-2.0,1880.0,-16256.0,-300.0
-46.0,-360.0,-256.0,1868.0,-16224.0,-368.0
-42.0,-363.0,-4.0,1880.0,-16304.0,-628.0
-44.0,-364.0,-4.0,1804.0,-16172.0,-512.0
-44.0,-366.0,-2.0,1856.0,-16232.0,-352.0
-42.0,-363.0,-3.0,1884.0,-16176.0,-376.0
-46.0,-362.0,-4.0,1900.0,-16288.0,-232.0
-41.0,-366.0,-2.0,1972.0,-16196.0,-412.0
-47.0,-364.0,-2.0,1844.0,-16208.0,-304.0
-44.0,-367.0,-6.0,1816.0,-16276.0,-320.0
-44.0,-361.0,-1.0,1944.0,-16292.0,-268.0
-41.0,-364.0,2.0,1980.0,-16200.0,-360.0
-47.0,-365.0,-3.0,1880.0,-16332.0,-492.0
-41.0,-363.0,-4.0,1948.0,-15892.0,-388.0
-42.0,-358.0,-3.0,1900.0,-16196.0,-300.0
-44.0,-363.0,1.0,1908.0,-16220.0,-356.0
-45.0,-363.0,-2.0,1948.0,-16288.0,-408.0
-41.0,-362.0,-3.0,1908.0,-16176.0,-336.0
-45.0,-365.0,0.0,1988.0,-16344.0,-432.0
-43.0,-361.0,254.0,1860.0,-16244.0,-388.0
-40.0,-365.0,-5.0,1840.0,-16240.0,-388.0
-44.0,-363.0,-254.0,2016.0,-16252.0,-28.0
-45.0,-362.0,-5.0,1872.0,-16256.0,-384.0
-43.0,-364.0,-2.0,1844.0,-16192.0,-372.0
-43.0,-362.0,-5.0,1864.0,-16268.0,-448.0
-44.0,-366.0,-5.0,1844.0,-16288.0,-136.0
-44.0,-362.0,-7.0,1800.0,-16260.0,-72.0
-41.0,-365.0,-3.0,1920.0,-16164.0,-388.0
-45.0,-363.0,-2.0,1900.0,-16232.0,-380.0
-44.0,-362.0,-4.0,1828.0,-16288.0,-352.0
-44.0,-364.0,-2.0,1592.0,-16156.0,-504.0
-44.0,-364.0,-3.0,1884.0,-16284.0,-360.0
-46.0,-365.0,-2.0,1932.0,-16272.0,-332.0
-41.0,-362.0,-1.0,1864.0,-16308.0,-220.0
-43.0,-364.0,-2.0,2012.0,-16280.0,-608.0
895.0,-727.0,73.0,6388.0,-16036.0,-8340.0
1170.0,-87.0,26.0,3692.0,372.0,19928.0
-978.0,86.0,-232.0,-7148.0,-17108.0,5304.0
-1452.0,-1231.0,137.0,1820.0,32768.0,-13212.0
31.0,69.0,142.0,2016.0,-19528.0,-7432.0
6.0,-240.0,-82.0,744.0,-19184.0,-3864.0
-279.0,-778.0,84.0,1080.0,-19700.0,-3556.0
2.0,-243.0,-78.0,1892.0,-18496.0,3000.0
95.0,-317.0,20.0,-360.0,-13596.0,2096.0
-330.0,-544.0,-254.0,904.0,-22056.0,-308.0
-51.0,-264.0,22.0,1852.0,-19340.0,-256.0
-413.0,-350.0,-8.0,648.0,-24604.0,-3852.0
-234.0,-382.0,7.0,2052.0,-20696.0,-1772.0
-130.0,-293.0,14.0,828.0,-18108.0,-1588.0
36.0,-388.0,-42.0,884.0,-14604.0,1268.0
-23.0,-337.0,6.0,1688.0,-14940.0,196.0
31.0,-352.0,255.0,916.0,-14744.0,300.0
-131.0,-370.0,-44.0,1936.0,-17876.0,-1124.0
-93.0,-282.0,35.0,1504.0,-18916.0,-476.0
-167.0,-392.0,-254.0,2256.0,-19576.0,-1172.0
-148.0,-331.0,-22.0,1296.0,-18140.0,-1436.0
-44.0,-337.0,19.0,1812.0,-17148.0,-1712.0
-21.0,-332.0,-21.0,1748.0,-14004.0,88.0
-250.0,-371.0,6.0,2048.0,-15932.0,500.0
17.0,-328.0,-7.0,2088.0,-15168.0,1692.0
-73.0,-379.0,5.0,2108.0,-17708.0,-196.0
-51.0,-345.0,23.0,2196.0,-16624.0,-500.0
-148.0,-384.0,-16.0,1836.0,-19332.0,-2000.0
-148.0,-309.0,-22.0,1428.0,-18372.0,-1676.0
-54.0,-352.0,16.0,2540.0,-16464.0,-788.0
22.0,-360.0,1.0,1684.0,-14872.0,1764.0
-30.0,-369.0,-8.0,2160.0,-15852.0,-632.0
-245.0,-319.0,2.0,1908.0,-14592.0,200.0
-71.0,-392.0,22.0,2320.0,-17508.0,-764.0
-93.0,-347.0,-41.0,2152.0,-16844.0,-1768.0
-66.0,-337.0,5.0,1688.0,-16696.0,-912.0
-12.0,-359.0,19.0,1676.0,-14324.0,452.0
20.0,-390.0,-17.0,2508.0,-15636.0,-188.0
-23.0,-329.0,-8.0,1652.0,-15748.0,120.0
-56.0,-382.0,12.0,2144.0,-16560.0,-184.0
-63.0,-346.0,-6.0,1968.0,-16320.0,-52.0
-44.0,-380.0,3.0,2364.0,-16636.0,-536.0
-36.0,-344.0,-22.0,1772.0,-15532.0,240.0
-8.0,-377.0,35.0,2016.0,-16036.0,-136.0
253.0,-358.0,-20.0,1956.0,-14780.0,204.0
-34.0,-378.0,-14.0,2204.0,-16000.0,-272.0
-58.0,-338.0,12.0,1812.0,-16380.0,-576.0
-67.0,-395.0,5.0,2056.0,-16908.0,-156.0
-86.0,-354.0,-17.0,2252.0,-16680.0,-556.0
-42.0,-333.0,23.0,532.0,-26584.0,-3932.0
1497.0,-370.0,551.0,2520.0,-24816.0,12932.0
-1643.0,-259.0,-476.0,-1156.0,-4356.0,6608.0
-455.0,-620.0,105.0,1948.0,-26152.0,-4320.0
397.0,-35.0,-124.0,2012.0,-22512.0,6472.0
182.0,-493.0,483.0,-2144.0,-19140.0,-1632.0
-108.0,-596.0,-44.0,4544.0,-19588.0,-3316.0
-249.0,-94.0,-162.0,1536.0,-18036.0,2448.0
-60.0,-461.0,101.0,1108.0,-16632.0,1404.0
-15.0,-474.0,51.0,2848.0,-18184.0,708.0
-83.0,-23.0,-36.0,2204.0,-17544.0,-332.0
-199.0,-391.0,9.0,988.0,-18224.0,-1740.0
-49.0,-371.0,41.0,1708.0,-15740.0,-704.0
-90.0,-383.0,-249.0,1708.0,-16176.0,-1624.0
-99.0,-363.0,-71.0,2004.0,-16768.0,-612.0
-20.0,-305.0,28.0,1916.0,-15376.0,1996.0
58.0,-421.0,21.0,1724.0,-15556.0,1264.0
-112.0,-367.0,-35.0,2580.0,-18624.0,-312.0
-24.0,-307.0,9.0,1684.0,-14852.0,-164.0
-84.0,-414.0,9.0,1448.0,-16100.0,-736.0
-128.0,-364.0,-10.0,2548.0,-17828.0,-2528.0
-72.0,-324.0,-36.0,1856.0,-16692.0,-1016.0
20.0,-364.0,19.0,1144.0,-13896.0,220.0
-7.0,-399.0,5.0,2368.0,-14904.0,-352.0
-14.0,-335.0,-19.0,2200.0,-15596.0,440.0
-57.0,-360.0,-9.0,1556.0,-15944.0,-968.0
-17.0,-361.0,8.0,1624.0,-16084.0,-140.0
-64.0,-357.0,-9.0,1752.0,-16752.0,-632.0
-31.0,-335.0,-38.0,1932.0,-15288.0,-368.0
10.0,-352.0,19.0,1616.0,-15892.0,400.0
-17.0,-370.0,9.0,1568.0,-15356.0,380.0
-52.0,-370.0,-43.0,2200.0,-16264.0,-944.0
-59.0,-330.0,23.0,1292.0,-16960.0,-544.0
-72.0,-395.0,10.0,1948.0,-17012.0,44.0
-65.0,-368.0,-21.0,2080.0,-16576.0,-796.0
-53.0,-340.0,6.0,2008.0,-16764.0,-564.0
-31.0,-375.0,2.0,1712.0,-15520.0,300.0
-33.0,-384.0,-255.0,2328.0,-15984.0,-236.0
-41.0,-339.0,-15.0,1952.0,-16424.0,-436.0
-82.0,-374.0,5.0,1676.0,-16792.0,-204.0
-46.0,-378.0,17.0,2292.0,-15692.0,44.0
-53.0,-369.0,-22.0,1796.0,-16688.0,-1216.0
-99.0,-350.0,-11.0,1524.0,-16476.0,-716.0
-13.0,-372.0,19.0,2072.0,-15888.0,4.0
-35.0,-362.0,-16.0,1840.0,-16640.0,-48.0
-70.0,-364.0,-12.0,1820.0,-16496.0,-244.0
-16.0,-345.0,18.0,2008.0,-15772.0,164.0
-47.0,-391.0,8.0,1916.0,-16512.0,-184.0
-79.0,-355.0,-34.0,1992.0,-16620.0,-792.0
-40.0,-346.0,-8.0,1752.0,-16388.0,-452.0
-80.0,-360.0,6.0,1464.0,-16340.0,-552.0
-26.0,-375.0,7.0,2064.0,-15724.0,-112.0
-34.0,-355.0,-20.0,1756.0,-15972.0,-280.0
-39.0,-363.0,254.0,1684.0,-15808.0,-400.0
-17.0,-360.0,6.0,1896.0,-15808.0,52.0
-21.0,-369.0,-3.0,2040.0,-16148.0,-56.0
-62.0,-362.0,-14.0,1708.0,-16384.0,-340.0
-34.0,-371.0,21.0,2052.0,-16104.0,64.0
-30.0,-358.0,-22.0,2008.0,-16164.0,-76.0
-60.0,-347.0,17.0,-1280.0,-25896.0,-4044.0
1331.0,-556.0,133.0,6444.0,-22976.0,11980.0
-2177.0,167.0,-360.0,-3816.0,-29440.0,5304.0
-577.0,-1161.0,646.0,15948.0,32768.0,-6432.0
348.0,459.0,-126.0,6392.0,-6120.0,-1440.0
233.0,-362.0,166.0,5188.0,-9852.0,2244.0
103.0,-556.0,-83.0,4832.0,-13848.0,-2516.0
96.0,-100.0,-20.0,40.0,-14040.0,-272.0
-30.0,-492.0,54.0,3736.0,-14592.0,152.0
148.0,-271.0,-34.0,1416.0,-11144.0,472.0
-75.0,-401.0,18.0,504.0,-16288.0,-396.0
-11.0,-408.0,-13.0,3576.0,-16248.0,-1132.0
-165.0,-321.0,-30.0,1712.0,-20736.0,-3076.0
-219.0,-346.0,34.0,1084.0,-18960.0,-1076.0
-1.0,-383.0,2.0,2680.0,-14968.0,1324.0
-23.0,-362.0,9.0,1396.0,-15428.0,-772.0
244.0,-348.0,-51.0,1712.0,-14732.0,-372.0
-233.0,-338.0,31.0,1408.0,-14108.0,940.0
83.0,-393.0,29.0,2332.0,-13944.0,1400.0
-31.0,-356.0,-74.0,2116.0,-14620.0,-456.0
-19.0,-350.0,59.0,1068.0,-14692.0,-656.0
-69.0,-373.0,-2.0,1908.0,-15920.0,200.0
-41.0,-385.0,-21.0,1892.0,-16600.0,-256.0
-42.0,-346.0,18.0,1908.0,-15080.0,400.0
15.0,-386.0,-15.0,1564.0,-15392.0,-188.0
-111.0,-366.0,17.0,1800.0,-18432.0,-484.0
-54.0,-367.0,-24.0,2524.0,-16892.0,524.0
-78.0,-362.0,-14.0,1380.0,-16920.0,-720.0
-42.0,-372.0,50.0,1740.0,-15736.0,100.0
-26.0,-367.0,-38.0,1928.0,-16364.0,-300.0
-84.0,-354.0,252.0,1360.0,-17004.0,-1776.0
-66.0,-358.0,12.0,1720.0,-16524.0,-624.0
-70.0,-365.0,10.0,1672.0,-16924.0,156.0
-57.0,-370.0,-7.0,2348.0,-16428.0,-292.0
4.0,-338.0,-16.0,1728.0,-15368.0,-664.0
-67.0,-377.0,33.0,1580.0,-17004.0,-812.0
-55.0,-359.0,-37.0,2484.0,-16252.0,-576.0
-39.0,-336.0,-6.0,1296.0,-15832.0,-200.0
14.0,-365.0,34.0,1604.0,-14640.0,716.0
-4.0,-371.0,-32.0,2260.0,-15588.0,132.0
-11.0,-343.0,8.0,1644.0,-15724.0,-432.0
-62.0,-373.0,-10.0,1604.0,-16440.0,-308.0
-78.0,-364.0,10.0,1820.0,-16604.0,-488.0
-36.0,-366.0,-1.0,2296.0,-15788.0,-24.0
-13.0,-365.0,-24.0,1672.0,-15600.0,52.0
-52.0,-369.0,24.0,1816.0,-16844.0,-124.0
-15.0,-366.0,-22.0,2136.0,-15632.0,-256.0
-70.0,-362.0,-15.0,1704.0,-17012.0,-400.0
-61.0,-358.0,18.0,2032.0,-16632.0,-88.0
-35.0,-369.0,-16.0,1752.0,-15872.0,100.0
430.0,-371.0,268.0,2244.0,32768.0,-6288.0
555.0,-233.0,-632.0,-6100.0,-4308.0,5424.0
-1331.0,-1443.0,294.0,11812.0,-27740.0,7296.0
-357.0,542.0,-132.0,5132.0,-13688.0,-8904.0
699.0,-285.0,490.0,-3024.0,1936.0,4128.0
-22.0,-720.0,129.0,620.0,-19792.0,3308.0
-194.0,-165.0,-92.0,3752.0,-24344.0,-952.0
-411.0,-294.0,-18.0,232.0,-28400.0,-5764.0
-705.0,-264.0,-256.0,2620.0,-23900.0,-4588.0
-106.0,-473.0,60.0,2340.0,-17980.0,480.0
-3.0,-297.0,-112.0,216.0,-18348.0,-5308.0
124.0,-318.0,248.0,784.0,-12988.0,-1236.0
166.0,-342.0,4.0,-504.0,-11540.0,3756.0
91.0,-475.0,-255.0,2476.0,-12932.0,1344.0
-203.0,-271.0,27.0,1692.0,-15072.0,2172.0
-103.0,-340.0,246.0,2020.0,-18344.0,1764.0
-37.0,-340.0,19.0,2348.0,-15300.0,-936.0
-166.0,-382.0,-6.0,2004.0,-19800.0,-3076.0
-132.0,-287.0,-91.0,1360.0,-18520.0,-2704.0
-50.0,-265.0,5.0,2008.0,-16672.0,-124.0
89.0,-429.0,27.0,1812.0,-12360.0,2868.0
125.0,-375.0,-35.0,2664.0,-12960.0,768.0
-2.0,-238.0,7.0,1004.0,-15728.0,108.0
-26.0,-440.0,42.0,2396.0,-16308.0,1168.0
-116.0,-364.0,-23.0,2560.0,-17716.0,-2020.0
-95.0,-316.0,-252.0,1816.0,-18016.0,-2240.0
-53.0,-346.0,-16.0,1912.0,-14284.0,460.0
3.0,-350.0,25.0,1456.0,-18092.0,-1568.0
-125.0,-400.0,5.0,1576.0,-16912.0,172.0
1.0,-377.0,-32.0,2156.0,-15216.0,-712.0
-40.0,-317.0,14.0,1568.0,-16280.0,-44.0
-27.0,-423.0,33.0,2204.0,-15264.0,1300.0
-72.0,-381.0,-34.0,2428.0,-17116.0,-1504.0
-71.0,-330.0,11.0,1676.0,-16996.0,-828.0
25.0,-376.0,12.0,1584.0,-13420.0,812.0
-44.0,-361.0,-45.0,2040.0,-17428.0,152.0
-44.0,-334.0,33.0,1184.0,-17628.0,356.0
-68.0,-365.0,-28.0,1884.0,-16248.0,-152.0
-16.0,-371.0,7.0,1280.0,-15552.0,704.0
-41.0,-388.0,-6.0,2876.0,-16252.0,-932.0
-62.0,-315.0,-1.0,1576.0,-17036.0,-756.0
10.0,-380.0,13.0,1836.0,-14836.0,1024.0
-59.0,-367.0,-30.0,1936.0,-17552.0,-1160.0
-47.0,-348.0,28.0,1980.0,-17180.0,12.0
-73.0,-367.0,-17.0,1804.0,-16408.0,-392.0
-25.0,-367.0,-13.0,1944.0,-15852.0,-52.0
-56.0,-359.0,14.0,1896.0,-16616.0,-724.0
-73.0,-356.0,-18.0,1884.0,-16940.0,-1012.0
-44.0,-368.0,19.0,1440.0,-16340.0,292.0
-85.0,-367.0,-35.0,2176.0,-16428.0,-1344.0
-52.0,-344.0,17.0,1724.0,-16768.0,-728.0
-40.0,-372.0,-4.0,1976.0,-15320.0,-112.0
504.0,-619.0,-16.0,7404.0,-15336.0,-13372.0
1883.0,-10.0,135.0,4272.0,25100.0,-2936.0
-239.0,-151.0,-121.0,-7544.0,11864.0,11168.0
-626.0,-1700.0,52.0,5368.0,-16240.0,-2780.0
-191.0,554.0,-23.0,3416.0,-22092.0,-5108.0
794.0,-764.0,182.0,-4424.0,2044.0,3188.0
408.0,-608.0,29.0,-268.0,-4984.0,9332.0
39.0,-300.0,-1.0,1464.0,-12388.0,-176.0
-99.0,-452.0,27.0,936.0,-13184.0,-2500.0
159.0,-368.0,-111.0,2064.0,-13900.0,4220.0
-96.0,-323.0,61.0,2952.0,-18408.0,3204.0
-107.0,-429.0,16.0,1396.0,-21496.0,-2188.0
-368.0,-267.0,-109.0,156.0,-15092.0,-52.0
60.0,-407.0,21.0,436.0,-15200.0,1200.0
69.0,-365.0,59.0,1896.0,-17236.0,1024.0
-314.0,-361.0,-94.0,1684.0,-18396.0,-3052.0
203.0,-454.0,41.0,2132.0,-15776.0,452.0
